# NOT Spectrum, from Charlotte, reduced
4060.5074777603204,1.027099366562733e-15,1.2325192398752797e-16
4063.89069175721,9.959132309843754e-16,1.1950958771812504e-16
4067.2739057541,1.0141683335583466e-15,1.217002000270016e-16
4070.6571197509797,1.032872794101627e-15,1.2394473529219522e-16
4074.0403337478706,1.0340232925018157e-15,1.2408279510021788e-16
4077.42354774476,1.0454133856841333e-15,1.2544960628209598e-16
4080.80676174164,1.0527409340415275e-15,1.263289120849833e-16
4084.1899757385295,1.0918876883822302e-15,1.3102652260586761e-16
4087.5731897354203,1.049941926944423e-15,1.2599303123333075e-16
4090.9564037323103,1.0604066850974046e-15,1.2724880221168854e-16
4094.33961772919,1.041766909568534e-15,1.2501202914822407e-16
4097.72283172608,1.0607485746333552e-15,1.2728982895600262e-16
4101.1060457229705,1.0753465695565166e-15,1.29041588346782e-16
4104.4892597198495,1.0752550319599706e-15,1.2903060383519647e-16
4107.87247371674,1.0495962618009965e-15,1.2595155141611958e-16
4111.255687713629,1.0279722172309296e-15,1.2335666606771156e-16
4114.63890171052,1.0776266391645262e-15,1.2931519669974314e-16
4118.0221157074,1.0601550083000043e-15,1.2721860099600052e-16
4121.405329704289,1.018192171182901e-15,1.2218306054194812e-16
4124.78854370118,1.0534506801189343e-15,1.264140816142721e-16
4128.17175769807,1.0598516251112252e-15,1.27182195013347e-16
4131.55497169495,1.0867446120546105e-15,1.3040935344655324e-16
4134.93818569184,1.0848245073762168e-15,1.30178940885146e-16
4138.32139968873,1.0572965610022435e-15,1.2687558732026922e-16
4141.704613685611,1.0861648661505765e-15,1.3033978393806918e-16
4145.0878276825,1.1033204969633644e-15,1.3239845963560372e-16
4148.47104167939,1.1184380435316688e-15,1.3421256522380026e-16
4151.8542556762795,1.1191497838510897e-15,1.3429797406213074e-16
4155.23746967316,1.051126821962375e-15,1.26135218635485e-16
4158.62068367005,1.0599554155547416e-15,1.27194649866569e-16
4162.003897666939,1.0368989145905486e-15,1.2442786975086582e-16
4165.38711166382,1.0548040407820838e-15,1.2657648489385006e-16
4168.77032566071,1.0584881235891526e-15,1.270185748306983e-16
4172.1535396576,1.0624183393145764e-15,1.2749020071774918e-16
4175.53675365449,1.0558569308121934e-15,1.267028316974632e-16
4178.91996765137,1.0289039324091592e-15,1.234684718890991e-16
4182.30318164826,1.0079479105918223e-15,1.2095374927101868e-16
4185.68639564515,1.002574234994106e-15,1.2030890819929273e-16
4189.06960964203,9.795782248966647e-16,1.1754938698759976e-16
4192.452823638921,9.84451440668783e-16,1.1813417288025395e-16
4195.83603763581,9.847388169826766e-16,1.181686580379212e-16
4199.2192516327,1.0089407851760188e-15,1.2107289422112224e-16
4202.6024656295795,1.0295494752047682e-15,1.235459370245722e-16
4205.98567962647,1.0409076064097162e-15,1.2490891276916594e-16
4209.36889362336,1.0007328971785278e-15,1.2008794766142332e-16
4212.75210762025,1.0107927468622388e-15,1.2129512962346866e-16
4216.135321617129,1.0292080724827334e-15,1.23504968697928e-16
4219.51853561402,1.0360382682490454e-15,1.2432459218988544e-16
4222.90174961091,1.062384542647301e-15,1.2748614511767611e-16
4226.28496360779,1.0509074669153803e-15,1.2610889602984563e-16
4229.66817760468,1.0397189496408317e-15,1.2476627395689979e-16
4233.051391601571,1.0815822854098672e-15,1.2978987424918406e-16
4236.43460559846,1.0755827609105694e-15,1.2906993130926834e-16
4239.81781959534,1.0904999440521859e-15,1.308599932862623e-16
4243.20103359223,1.053790094688046e-15,1.2645481136256553e-16
4246.58424758912,1.0827869393207242e-15,1.299344327184869e-16
4249.96746158601,1.0826933719007377e-15,1.299232046280885e-16
4253.35067558289,1.0820333438632143e-15,1.2984400126358571e-16
4256.733889579779,1.0925491529218952e-15,1.311058983506274e-16
4260.11710357667,1.1035897229561978e-15,1.3243076675474373e-16
4263.50031757355,1.1114494262240302e-15,1.3337393114688362e-16
4266.88353157044,1.062598920426299e-15,1.2751187045115587e-16
4270.26674556733,1.0604142918725783e-15,1.272497150247094e-16
4273.64995956421,1.0942146569072904e-15,1.3130575882887483e-16
4277.0331735611,1.1177819107759611e-15,1.3413382929311532e-16
4280.41638755799,1.0617289288876852e-15,1.2740747146652222e-16
4283.79960155488,1.0441251168393808e-15,1.252950140207257e-16
4287.1828155517605,1.0436106076214772e-15,1.2523327291457726e-16
4290.56602954865,1.0595668704821085e-15,1.2714802445785302e-16
4293.9492435455395,1.0649066222496004e-15,1.2778879466995203e-16
4297.332457542429,1.0123226373163443e-15,1.2147871647796132e-16
4300.71567153931,1.0245567498085624e-15,1.229468099770275e-16
4304.0988855362,1.0432415818490413e-15,1.2518898982188495e-16
4307.482099533089,1.0490629117787052e-15,1.2588754941344463e-16
4310.86531352998,1.022060549526738e-15,1.2264726594320857e-16
4314.24852752686,9.977862251782789e-16,1.1973434702139346e-16
4317.63174152375,1.0170081496545307e-15,1.2204097795854367e-16
4321.01495552064,1.022930084079631e-15,1.2275161008955573e-16
